㈱セーフティ岡山,,,,,山本化学 ゴーグル 通気孔無,,YG-5601,875,,個,,個,1,個,事務所,,,,
㈱セーフティ岡山,,,,,富士グローブ　豚皮レインジャー型アテなし,10双単位で注文,EX-232　L,877,550,双,,双,2,双,事務所,,,,13
㈱セーフティ岡山,,,,,グリップ　310　ソフト,10双単位で注文 24/3/1～,Mサイズ,882,265,双,,双,1,双,事務所,,,,8
㈱セーフティ岡山,,,,,グリップ　310　ソフト,10双単位で注文 24/3/1～,Lサイズ,883,265,双,,双,1,双,事務所,,,,8
トリツ機工株式会社,,,,,クーラントポンプ 本体,,テラル NQJ-S250E-290,1047,,P,,P,1,P,フラン,,,,
ナゴヤ機工株式会社,,,,,ブラケット C4520,,イ：25キリ孔有り,1178,,個,,個,1,個,APS,,,,
ナゴヤ機工株式会社,,,,,（APS） A4163 ブッシュ ,,素材（焼入）・加工,1192,,個,,個,1,個,,,,,
ナゴヤ機工株式会社,,,,,SNSパワーシーブ 140-3V-3 （Φ55・キー15×10）,2共通インペラー側）,KSB-25L ショット インペラー駆動部（No.1,1203,,6800,,6800,1,,,,,,
ナゴヤ機工株式会社,,,,,APSシールプレート  No.001,,,1205,,,,,1,,,,,,
ナゴヤ機工株式会社,,,,,APSシールプレート  No.002,,,1206,,,,,1,,,,,,
ナゴヤ機工株式会社,,,,,APSシールプレート  No.003,,,1207,,,,,1,,,,,,
ナゴヤ機工株式会社,,,,,(APS）位置決めピン ,,ZD0524,1215,,個,,個,1,個,APS,,,,
ナゴヤ機工株式会社,,,,,（APS)シールプレートNo.003,,S53C（焼鈍材）+加工,1227,,個,,個,1,個,,,,,
ナゴヤ機工株式会社,,,,,Aカラー,1F3700A2051,000,1232,,1200,,1200,1,,,,,,
ナゴヤ機工株式会社,,,,,Aノズル SS400,000（仕上含む3,900 加工費￥4,1233,,1F1950A0017,,1F1950A0017,1,6900,台,,,,
ナゴヤ機工株式会社,,,,,AYユグチボウ,1F7030A2506（メッキ後の寸法）,500 白、ユニクロメッキ￥800,1234,,3800,,3800,1,,,,,,
ナゴヤ機工株式会社,,,,,Aノズル S55C 6F材,500,800 加工費￥4,1235,,,,,1,台,,,,,
ニートレックス株式会社,,,,,三菱 ロングストレートドリル,,LSDD0500A300,1253,,本,,本,1,本,,,,,
ニートレックス株式会社,,,,,3M 濾過材,,837010J,1259,3080,個,,個,1,個,事務所,,,,7
ニートレックス株式会社,,,,,3M  プレフィルタ (5枚入),,,1260,,箱,,箱,1,箱,事務所,,,,
ニートレックス株式会社,,,,,3M 耳栓　プッシュインス　（ひも有）,200セットで注文,318-4001,1278,115,セット,,セット,1,セット,事務所,,,,9
ニートレックス株式会社,,,,,軸付砲弾砥石 M割,きのこ型,25*38*6*35L,1303,180,個,,個,1,,事務所,,,,2
ニートレックス株式会社,,,,,軸付砥石(円盤） 大・薄い・山有り,,50*4*6*40（ヘソ24φ）,1304,180,個,,個,,個,出荷検査,,,,17
ニートレックス株式会社,,,,,ドレッサー替え刃,,,1306,6200,箱,,箱,10,箱,事務所,,,,8
ニートレックス株式会社,,,,,3Mアドフロー ウエストベルト,,835000,1311,,個,,個,1,個,事務所,,,,
ニートレックス株式会社,,,,,軸付砥石(円盤) 大・厚い・山なし,000  再生￥5,50×6×6×40,1333,225,個,,個,0,袋,出荷検査,,,,0
ニートレックス株式会社,,,,,重松製 防じんマスク,最少ロット10個,DR-76DSU2K,1337,1800,個,,個,1,個,事務所,,,,7
二華園印刷,,,,,封筒 (料金後納入り),,長形4号 小,1353,,枚,,枚,1000,式,,,,,
