山本材木01,やま01,やまもとざいもくてん,㈱山本材木店,,針葉樹合板　特類,,910*1100*9mm,,1170,枚,,枚,,,出荷置き場,,,,,,,,,,,,,,,,,
山本材木02,やま01,やまもとざいもくてん,㈱山本材木店,,ラワンベニヤ　1類,,910*1100*5.5mm,,1130,枚,,枚,,,出荷置き場,,,,,,,,,,,,,,,,,
山本材木03,やま01,やまもとざいもくてん,㈱山本材木店,,梱包用ベニヤ（カット代込み）,,1050*1220*12mm,,1600,枚,,枚,,,塗装場,,,,,,,,,,,,,,,,,
山本材木231206,やま01,やまもとざいもくてん,㈱山本材木店,70,構造用合板（カット代込み）,,910*1100*12mm,,1950,枚,,枚,,,塗装場,2023/12/6,,,受注後1週間以内,,,,,,,,,,,,,
山本材木220530-01,やま01,やまもとざいもくてん,㈱山本材木店,,木材　桧,型枠の下に敷くリン木用,1×4　3048mm　10ft,9.9ftほどになる,490,枚,,枚,,,フラン,2022/6/1,,,,,,,,,,,,,,,,
山本材木220530-02,やま01,やまもとざいもくてん,㈱山本材木店,,木材　桧,型枠の下に敷くリン木用,2×4　3048mm　10ft,9.9ftほどになる,980,枚,,枚,,,フラン,2022/6/1,,,,,,,,,,,,,,,,
山本材木220530-03,やま01,やまもとざいもくてん,㈱山本材木店,,木材　桧,型枠の下に敷くリン木用,4×4　3048mm　10ft,9.9ftほどになる,1220,枚,,枚,,,フラン,2022/6/1,,,,,,,,,,,,,,,,
山本材木230831,やま01,やまもとざいもくてん,㈱山本材木店,70,ラワンベニヤ　JAS/T2,,1050*1220*12mm,,2830,枚,,枚,,,塗装場,2023/8/30,,,4～5日,,,,,,,,,,,,,
山本材木240611,やま01,やまもとざいもくてん,㈱山本材木店,70,ラワンベニヤ　合板,,1100*1100*12mm,,2800,枚,,枚,,,塗装場,2024/6/11,,,3～4日,,,,,,,,,,,,,
山本材木241212-01,やま01,やまもとざいもくてん,㈱山本材木店,12,コンパネ,2枚重ね←貼手間＠1000+ボンド代＠80,9mm 900*1800,CP 12mm 900*1800と重ねて約20mmにする(ボンドで接着),1580,枚,,枚,,,フラン,2024/12/12,,,3～4日,,,,,,,,,,,,,
山本材木241212-02,やま01,やまもとざいもくてん,㈱山本材木店,12,コンパネ,2枚重ね←貼手間＠1000+ボンド代＠80,12mm 900*1800,CP 9mm 900*1800と重ねて約20mmにする(ボンドで接着),1840,枚,,枚,,,フラン,2024/12/12,,,3～4日,,,,,,,,,,,,,
山本材木241217-01,やま01,やまもとざいもくてん,㈱山本材木店,70,ラワンベニヤ　合板,,12mm 1230*1050,,2830,枚,,枚,,,塗装場,2024/12/17,,,,,,,,,,,,,,,,
山本材木241217-02,やま01,やまもとざいもくてん,㈱山本材木店,70,針葉樹構造用合板,,12mm 910*1100,,1350,枚,,枚,,,塗装場,2024/12/17,,,,,,,,,,,,,,,,
山里　6203-09-1,山里01,やまりさんぎょう,山里産業㈱水島営業所,,補償導線,長さ2m,WX13 2000L 両端M4圧着端子付き,,1000,本,,本,,,電気炉,,,,,,,,,,,,,,,,,
山里　6203-28,山里01,やまりさんぎょう,山里産業㈱水島営業所,,補償導線,長さ3m,WX13 3000L 両端M4圧着端子付き,,1500,本,,本,,,電気炉,2017/2/27,6302-28,新規見積,,,,,,,,,,,,,,
山里　6203-09-2,山里01,やまりさんぎょう,山里産業㈱水島営業所,,Kシース熱電対　JIS2,温度センサ,型式TMCS-KS48 Ⅱ/310S-2000,,11000,本,,本,,,電気炉,,,,,,,,,,,,,,,,,
山里　20230628,山里01,やまりさんぎょう,山里産業㈱水島営業所,2,Kシース熱電対　JIS2,温度センサ,型式TMCS-KS48 Ⅱ/310S-2000,送料¥3000,12500,本,,本,,,電気炉,2023/6/29,6906*58,値上げ,20日間,,,,,,,,,,,,,
友和 230607,友和01-01,ゆうわとりょう,友和塗料㈱,70,ラッカーシンナー,ラッカーシンナー,#200,協和化工　R5.7月～,2900,缶,1,缶,,,指定置場,2023/6/16,,値上げ,2日,,,,,,,,,,,,,
友和230801,友和01-01,ゆうわとりょう,友和塗料㈱,70,ラッカー下地プライマー錆,ラッカー下地プライマー錆,14L,,9750,缶,1,缶,,,指定置場,2023/8/1,,,3日,,,,,,,,,,,,,
友和ら001-120601,友和01-01,ゆうわとりょう,友和塗料㈱,,ラク研ぎパテ,ラク研ぎパテ,主剤　４ＫＧ缶,,4000,缶,1,箱,4,缶,西塗装場,,,,即日,,,,,,,,,,,,,
友和め002-00,友和01-01,ゆうわとりょう,友和塗料㈱,,メリヤス,,,,48,枚,1,箱,100,枚,事務所,,,,1週間,,,,,,,,,,,,,
友和と008-00,友和01-01,ゆうわとりょう,友和塗料㈱,,吹き付けガン　1000ml,,PC-1,,3000,個,1,個,1,個,西塗装場,,,,,,,,,,,,,,,,,
友和ぱ002-140710,友和01-01,ゆうわとりょう,友和塗料㈱,,パテベラ（大),ジラコヘラ 66mm,シラコヘラ　白　66mm,,210,本,,本,,,西塗装場,,,,3日,,,,,,,,,,,,,
友和ぱ001-140710,友和01-01,ゆうわとりょう,友和塗料㈱,,パテベラ（小),デルリヘラ 40mm,デルリヘラ　青　40mm,,170,本,,本,,,西塗装場,,,,3日,,,,,,,,,,,,,
友和の001-140410,友和01-01,ゆうわとりょう,友和塗料㈱,,ノンブラシング　Ｔ,ノンブラシング,16L,,7300,缶,1,缶,,,西塗装場,2014/4/10,140410,値上げ,3日,,,,,,,,,,,,,
友和の220308,友和01-01,ゆうわとりょう,友和塗料㈱,,ノンブラシング　Ｔ,ノンブラシング,16L,,8000,缶,1,缶,,,西塗装場,2022/3/8,,値上げ,3日,,,,,,,,,,,,,
友和220301-01,友和01-01,ゆうわとりょう,友和塗料㈱,100,布テープ,白ガムテープ,ニチバン 白 LS102,,345,個,1,箱,30,個,事務所,2022/3/1,,値上の為,3日,,,,,,,,,,,,,
友和と0009-00,友和01-01,ゆうわとりょう,友和塗料㈱,,塗料カップのみ　700ML,,KR-470-1,,3200,個,,個,,,西塗装場,,,,3日,,,,,,,,,,,,,
友和と0010-120601,友和01-01,ゆうわとりょう,友和塗料㈱,,塗料カップのみ　1000ML,,KR-555-2C,,3120,個,,個,,,,,,,3日,,,,,,,,,,,,,
友和と007-00,友和01-01,ゆうわとりょう,友和塗料㈱,,塗料カップ,,423704　汲み上げ式　4702,,0,,1,セット,,,西塗装場,,,,,,,,,,,,,,,,,
友和と005-141113,友和01-01,ゆうわとりょう,友和塗料㈱,,ドライタックペーパー,ドライタックペーパー　100,#100,,3100,箱,,箱,,,西塗装場,,,,3日,,,,,,,,,,,,,
友和と003-141113,友和01-01,ゆうわとりょう,友和塗料㈱,,ドライタックペーパー,ドライタックペーパー　120,#120,,2800,箱,,箱,,,西塗装場,,,,3日,,,,,,,,,,,,,
友和と006-141113,友和01-01,ゆうわとりょう,友和塗料㈱,,ドライタックペーパー,ドライタックペーパー　240,#240,,0,箱,,箱,,,,,,,3日,,,,,,,,,,,,,
友和と002-141113,友和01-01,ゆうわとりょう,友和塗料㈱,,ドライタックペーパー,ドライタックペーパー　40,#40,,4500,箱,,箱,,,西塗装場,,,,3日,,,,,,,,,,,,,
友和と001-141113,友和01-01,ゆうわとりょう,友和塗料㈱,,ドライタックペーパー,ドライタックペーパー　60,#60,,3700,箱,,箱,,,西塗装場,,,,3日,,,,,,,,,,,,,
友和と004-141113,友和01-01,ゆうわとりょう,友和塗料㈱,,ドライタックペーパー,ドライタックペーパー　80,#80,100枚入り,3500,箱,,箱,,,西塗装場,,,,3日,,,,,,,,,,,,,
友和し001-140701,友和01-01,ゆうわとりょう,友和塗料㈱,70,塗装用シンナー,,日本ペイント　HI-CR デラックスエコ,,3500,缶,1,缶,,,塗装場,2008/1/21,080209,値上の為、アキオカ専用を作る,2日,,,,,,,,,,,,,
友和ち001-00,友和01-01,ゆうわとりょう,友和塗料㈱,70,中間パテペースト,,硬化剤,,780,本,1,箱,4,本,西塗装場,,,,在庫品,,,,,,,,,,,,,
友和ち001-110914,友和01-01,ゆうわとりょう,友和塗料㈱,70,中間パテベースNEWブラウン,,硬化剤　80g入り,,960,本,1,箱,4,本,西塗装場,2011/9/14,値上,,在庫品,,,,,,,,,,,,,
友和ら002-110914,友和01-01,ゆうわとりょう,友和塗料㈱,70,中間パテ　ラク研ぎパテ　120,ラク研ぎパテ120,主剤　3.5ＫＧ缶,,3800,缶,1,箱,4,缶,西塗装場,,,,在庫品,,,,,,,,,,,,,
友和た003-00,友和01-01,ゆうわとりょう,友和塗料㈱,70,タックロールペーパー,,＃120,,3200,巻,1,巻,,,西塗装場,,,,3～5日,,,,,,,,,,,,,
友和た002-00,友和01-01,ゆうわとりょう,友和塗料㈱,70,タックロールペーパー,,＃240,,4900,巻,1,巻,,,西塗装場,,,,3～5日,,,,,,,,,,,,,
友和せ002-100309,友和01-01,ゆうわとりょう,友和塗料㈱,70,ゼッタール　専用シンナー,,16L,,5200,缶,1,缶,,,指定置き場,2010/3/1,新規,浅野向け,2日,,,,,,,,,,,,,
友和せ001-100309,友和01-01,ゆうわとりょう,友和塗料㈱,70,ゼッタール　EP-2（主剤・硬化剤）,,20KG,,14700,セット,1,セット,,,指定置き場,2010/3/1,新規,浅野向け,,,,,,,,,,,,,,
友和ふ003-01,友和01-01,ゆうわとりょう,友和塗料㈱,70,スプレーガンの塗料カップのみ1L(PC-1),,,,3000,個,1,個,1,個,,,,,,,,,,,,,,,,,,
友和す004-00,友和01-01,ゆうわとりょう,友和塗料㈱,70,スプレーガン,,F110-S15（明治機械）,,11500,個,1,個,,,,,,,2～5日,,,,,,,,,,,,,
友和す002-00,友和01-01,ゆうわとりょう,友和塗料㈱,70,スプレー缶,,黒,,600,缶,1,箱,12,本,事務所,2009/9/2,新規,ミツヤのスプレー缶、臭いが強い・広角噴射,3日,,,,,,,,,,,,,
友和す001-00,友和01-01,ゆうわとりょう,友和塗料㈱,70,スチレンモノマー,スチレンモノマー,,,5800,個,1,缶,,,西塗装場,,,,3日,,,,,,,,,,,,,
友和し002-00,友和01-01,ゆうわとりょう,友和塗料㈱,70,白文字筆　3号,,,,100,本,1,本,,,事務所,,,,,,,,,,,,,,,,,
友和230131,友和01-01,ゆうわとりょう,友和塗料㈱,70,シャーシーブラック,友和で100缶在庫 無くなり次第値上げ,トアラッカー #500,トウペ,8100,缶,1,缶,,,指定置場,2023/1/31,,値上の為,在庫品,,,,,,,,,,,,,
友和さ001-00,友和01-01,ゆうわとりょう,友和塗料㈱,70,サンダーパット,,5インチ,,3500,個,1,個,,,西塗装場,,,,3日,,,,,,,,,,,,,
友和さ003-131226,友和01-01,ゆうわとりょう,友和塗料㈱,70,サンダー　信濃,,SI-3101 ダブルアクションサンダー,,25000,台,,台,,,西塗装場,2013/12/26,131226,見積,3日,,,,,,,,,,,,,
,友和01-01,ゆうわとりょう,友和塗料㈱,70,サンダー　空研,,SAM-41 パッド（糊付き用）,部品符号　No.49,0,個,,,,,,,,,3日,,,,,,,,,,,,,
友和さ002-00,友和01-01,ゆうわとりょう,友和塗料㈱,70,サンダー　空研,,SAM-41,,30000,個,,,,,西塗装場,2008/10/15,081015,発注,3日,,,,,,,,,,,,,
友和け001-130215　本,友和01-01,ゆうわとりょう,友和塗料㈱,70,ゲルチョーク　　本体,,DX-CBGC-BUW,,300,本,,本,,,事務所,,,,3日,,,,,,,,,,,,,
