"id","name","file_path","memo","del_flg","created_at","updated_at","movie_tag_id"
"122","test","kEW6S_xz0Kk",,"1","2024-08-05","2024-08-05 09:28:54","11"
"123","test2","7TBRQakvvIA",,"1","2024-08-06","2024-08-06 03:12:36","11"
"124","test3","jfYr8tX_go0",,"1","2024-08-06","2024-08-06 03:12:43","11"
"125","test4","PBNPBjOvNRk",,"1","2024-08-06","2024-08-06 03:12:48","11"
"126","小集団 録音","FlqtSkeFyUg",,"0","2024-08-08","2024-08-07 23:03:31","10"
"127","要求課題３社打合せ","coADCyD9XL0",,"0","2024-07-30","2024-08-09 03:51:44","11"
"128","定例会","eZMkZL84pgQ",,"0","2024-08-01","2024-08-09 03:53:21","11"
"129","定例会","Vrlbcx8CIYU",,"0","2024-08-08","2024-08-09 03:54:47","11"
"130","アキオカ紹介動画","ssCIzFCRNHo","AKIOKA PR動画（日本語ナレーション）","1","2024-08-01","2024-09-16 02:48:37","10"
"131","定例会","yXBZSXJpq-g",,"0","2024-08-23","2024-09-17 02:04:45","11"
"132","OTEX打音検査","fBILaHX3xww",,"1","2024-09-12","2024-10-24 07:36:06","7"
"133","要求課題３社打合せ","OMNyucQypI8",,"0","2024-09-06","2024-09-17 02:13:16","11"
"134","定例会","Bf4YzV2BcUg",,"0","2024-09-11","2024-09-17 02:21:17","11"
"135","定例会","9688S6HfRwE",,"0","2024-09-18","2024-09-26 06:29:46","11"
"136","ヒアリング","PN500RQeCm8",,"0","2024-09-24","2024-09-26 06:30:59","11"
"137","定例会","wg7MZMtD72s",,"0","2024-09-27","2024-10-03 01:56:23","11"
"138","定例会","sGvgnOAhz3Q",,"0","2024-10-03","2024-10-07 05:15:56","11"
"139","小集団 録音","QJSfamAROgg",,"0","2024-10-10","2024-10-10 03:46:42","10"
"140","定例会（作業範囲の確定）","VRl_xBMLb1w",,"0","2024-10-08","2024-10-10 23:29:34","11"
"141","定例会","M7Z-ENrEJa0",,"0","2024-10-15","2024-10-21 00:57:05","11"
"160","OTEX打音検査動画","hj73-IdKUyk","打音検査の展示公開動画","0","2024-10-28","2024-10-28 03:36:49","12"
"187","課題確認","WDtyMPkcNWg","CS様の課題確認","0","2024-11-05","2024-11-18 00:33:35","11"
"198","新入社員教育動画","EFp2a-ouIOY","null","0","2024-12-06","2024-12-06 05:31:09","14"
"209","島根大学ジュニアドクター育成塾","uzXkT4Q9WoI","null","0","2024-12-24","2024-12-24 06:54:03","15"
"216","打音検査説明動画","i-6eVOw02TY","null","0","2024-12-25","2024-12-25 06:12:02","14"
"217","設計レビュー打合せ","fd0mILmDq5o","null","0","2025-01-10","2025-01-13 01:21:45","11"
"220","ReMacs定例会","6Ym03iQzafU","全体スケジュール","0","2025-01-08","2025-01-15 06:51:47","11"
"224","HP ProBook 650 G5(G4) 分解手順書","502MXXgULiI","null","0","2025-01-28","2025-01-28 17:04:22","16"
"227","ReMacs定例会_20250123","KmJER4v_lBo","null","0","2025-01-23","2025-01-30 12:32:24","11"
"228","20250212_ReMacs操作説明会①","MPxEAFQorvs","null","0","2025-02-12","2025-02-17 16:47:27","2"
"229","20250212_ReMacs操作説明会②","5s9aQbT3RK0","null","0","2025-02-12","2025-02-17 16:48:45","2"
"235","その他受注・国内仕入・IP実績","k55vt5_ur2w","null","0","2025-02-20","2025-03-24 13:57:35","2"
"237","20250219_操作説明会①_計画・指示・外注","yqDzT7qd1QE","null","0","2025-02-19","2025-03-24 14:16:18","2"
"238","20250225_130659_システム・IP作業実績","R7C9gtvumrg","null","0","2025-02-25","2025-03-24 14:29:52","2"
"239","20250228_130134_フィーダ生産計画","Vn2vBzo29hQ","未設定","0","2025-02-28","2025-03-24 14:34:16","2"
